Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-2012-12_Kemet-R_HandSolder,1,0.1uF,
C2,CP_EIA-2012-12_Kemet-R_HandSolder,1,10uF,
D1,0805,1,POWER LED,
D3,0603,1,USER LED,
"J1, J2",PinSocket_1x28_P2.54mm_Vertical,2,Conn_01x28_Socket,
J3,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
J4,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J5,PinSocket_1x09_P2.54mm_Vertical,1,TFT_Display_Conn_Socket,
J6,PinSocket_1x05_P2.54mm_Vertical,1,TFT_SD_Conn_Socket,
LED1,LED-SMD_6PIN-L1.60-W1.50-BL-RD,1,~,
"R1, R7, R8",0805,3,10k,
"R2, R6",0805,2,100,
"R3, R5",0805,2,10,
R4,0805,1,68,
"S1, S2",SW_B3F-4055,2,B3F-4055,
U1,XDCR_COM-09032,1,~,
