Designator,Mid X,Mid Y,Rotation,Layer
C1,155.5,-31.0,0.0,top
C2,155.5,-34.0,180.0,top
D1,239.5,-50.5,180.0,top
D2,228.1,-52.2,180.0,top
D3,248.5,-50.5,180.0,top
J1,171.45,-58.42,270.0,top
J2,171.45,-76.2,270.0,top
J3,116.84,-58.42,270.0,top
J4,118.11,-76.2,270.0,top
J5,164.51,-38.475,90.0,top
J6,165.03,-96.475,270.0,bottom
R1,216.5,-97.0,0.0,top
R2,239.5,-56.5,180.0,top
R3,215.5,-44.5,180.0,top
R4,215.5,-48.5,180.0,top
R5,215.5,-52.5,180.0,top
R6,248.5,-56.5,180.0,top
R7,238.5,-97.0,180.0,top
R8,165.5,-102.0,180.0,top
S1,225.75,-88.5,0.0,top
S2,250.25,-88.5,0.0,top
U1,82.357,-86.23,0.0,top
